email,firstname,lastname,password,username
jsmith@cc.c,John,Smith,p@ssw3rd,jsmith
janesmith@aq.cc,Jane,Smith,s3cret,janesmith
joesmith@dd.d,Joe,Smith,blackd0g,joesmith
jimsmith@de.dd,Jim,Smith,wh1it3cAt,jimsmith
jacksmith@gf.uy,Jack,Smith,blu3FisH,jacksmith
johndoe@dd.d,John,Doe,R3dHors3,johndoe
janedoe@cc.d,Jane,Doe,GreenFr0g,janedoe
msanders@er.iu,Michael,Sanders,YellowTurtle,msanders
boballen@ds.er,Bob,Allen,PurpleSnake,boballen
jamesq@we.er,James,Quimbly,PinkPig,jamesq
mscott@we.dd,Michael,Scott,WhiteZebra,mscott
jhalprin@qw.ty,Jim,Halprin,BlackTurkey,jhalprin
tjones@we.mn,Teresa,Jones,BlueHawk,tjones
tomjones@gr.kk,Tommy,Jones,GreenTree,tomjones
greggjones@fe.df,Gregg,Jones,OrangeFish,greggjones
dthompson@se.tt,Daniel,Thompson,RedBoat,dthompson
pjones@de.op,Pamela,Jones,BlackSnake,pjones
fsmith@as.rr,Fred,Smith,WhiteHorse,fsmith
fransmith@re.ty,Fran,Smith,YellowDuck,fransmith
cthompson@er.uu,Chris,Thompson,BlueEel,cthompson
